outlet,name,schedule,fc,ph,chlorine,chlorine_unit,acid,acid_unit
WWW,WWW,weekday,-2.0,7.2,3.0,kg,1.0,l
WWW,WWW,weekday,-2.0,7.4,3.0,kg,1.5,l
WWW,WWW,weekday,-2.0,7.6,3.0,kg,2.0,l
WWW,WWW,weekday,-2.0,7.8,3.0,kg,3.0,l
WWW,WWW,weekday,-2.0,8.0,3.0,kg,4.0,l
WWW,WWW,weekday,-1.5,7.2,3.0,kg,1.0,l
WWW,WWW,weekday,-1.5,7.4,3.0,kg,1.5,l
WWW,WWW,weekday,-1.5,7.6,3.0,kg,2.0,l
WWW,WWW,weekday,-1.5,7.8,3.0,kg,3.0,l
WWW,WWW,weekday,-1.5,8.0,3.0,kg,4.0,l
WWW,WWW,weekday,-1.0,7.2,3.0,kg,1.0,l
WWW,WWW,weekday,-1.0,7.4,3.0,kg,1.5,l
WWW,WWW,weekday,-1.0,7.6,3.0,kg,2.0,l
WWW,WWW,weekday,-1.0,7.8,3.0,kg,3.0,l
WWW,WWW,weekday,-1.0,8.0,3.0,kg,4.0,l
WWW,WWW,weekday,-0.5,7.2,2.5,kg,1.0,l
WWW,WWW,weekday,-0.5,7.4,2.5,kg,1.5,l
WWW,WWW,weekday,-0.5,7.6,2.5,kg,2.0,l
WWW,WWW,weekday,-0.5,7.8,2.5,kg,3.0,l
WWW,WWW,weekday,-0.5,8.0,2.5,kg,4.0,l
WWW,WWW,weekday,0.0,7.2,2.3,kg,1.0,l
WWW,WWW,weekday,0.0,7.4,2.3,kg,1.5,l
WWW,WWW,weekday,0.0,7.6,2.3,kg,3.0,l
WWW,WWW,weekday,0.0,7.8,2.3,kg,3.5,l
WWW,WWW,weekday,0.0,8.0,2.3,kg,4.0,l
WWW,WWW,weekday,0.5,7.2,2.3,kg,1.0,l
WWW,WWW,weekday,0.5,7.4,2.3,kg,1.5,l
WWW,WWW,weekday,0.5,7.6,2.3,kg,3.0,l
WWW,WWW,weekday,0.5,7.8,2.3,kg,3.5,l
WWW,WWW,weekday,0.5,8.0,2.3,kg,4.0,l
WWW,WWW,weekday,1.0,7.2,1.8,kg,1.0,l
WWW,WWW,weekday,1.0,7.4,1.8,kg,1.5,l
WWW,WWW,weekday,1.0,7.6,1.8,kg,2.0,l
WWW,WWW,weekday,1.0,7.8,1.8,kg,3.0,l
WWW,WWW,weekday,1.0,8.0,1.8,kg,4.0,l
WWW,WWW,weekday,1.5,7.2,1.8,kg,1.0,l
WWW,WWW,weekday,1.5,7.4,1.8,kg,1.5,l
WWW,WWW,weekday,1.5,7.6,1.8,kg,2.0,l
WWW,WWW,weekday,1.5,7.8,1.8,kg,3.0,l
WWW,WWW,weekday,1.5,8.0,1.8,kg,4.0,l
WWW,WWW,weekday,2.0,7.2,1.3,kg,1.0,l
WWW,WWW,weekday,2.0,7.4,1.3,kg,1.5,l
WWW,WWW,weekday,2.0,7.6,1.3,kg,2.0,l
WWW,WWW,weekday,2.0,7.8,1.3,kg,3.0,l
WWW,WWW,weekday,2.0,8.0,1.3,kg,4.0,l
WWW,WWW,weekday,2.5,7.2,1.3,kg,1.0,l
WWW,WWW,weekday,2.5,7.4,1.3,kg,1.5,l
WWW,WWW,weekday,2.5,7.6,1.3,kg,2.0,l
WWW,WWW,weekday,2.5,7.8,1.3,kg,3.0,l
WWW,WWW,weekday,2.5,8.0,1.3,kg,4.0,l
WWW,WWW,weekend,-2.0,7.2,3.0,kg,1.0,l
WWW,WWW,weekend,-2.0,7.4,3.0,kg,1.5,l
WWW,WWW,weekend,-2.0,7.6,3.0,kg,2.0,l
WWW,WWW,weekend,-2.0,7.8,3.0,kg,3.0,l
WWW,WWW,weekend,-2.0,8.0,3.0,kg,4.0,l
WWW,WWW,weekend,-1.5,7.2,3.0,kg,1.0,l
WWW,WWW,weekend,-1.5,7.4,3.0,kg,1.5,l
WWW,WWW,weekend,-1.5,7.6,3.0,kg,2.0,l
WWW,WWW,weekend,-1.5,7.8,3.0,kg,3.0,l
WWW,WWW,weekend,-1.5,8.0,3.0,kg,4.0,l
WWW,WWW,weekend,-1.0,7.2,3.0,kg,1.0,l
WWW,WWW,weekend,-1.0,7.4,3.0,kg,1.5,l
WWW,WWW,weekend,-1.0,7.6,3.0,kg,2.0,l
WWW,WWW,weekend,-1.0,7.8,3.0,kg,3.0,l
WWW,WWW,weekend,-1.0,8.0,3.0,kg,4.0,l
WWW,WWW,weekend,-0.5,7.2,2.5,kg,1.0,l
WWW,WWW,weekend,-0.5,7.4,2.5,kg,1.5,l
WWW,WWW,weekend,-0.5,7.6,2.5,kg,2.0,l
WWW,WWW,weekend,-0.5,7.8,2.5,kg,3.0,l
WWW,WWW,weekend,-0.5,8.0,2.5,kg,4.0,l
WWW,WWW,weekend,0.0,7.2,2.5,kg,1.0,l
WWW,WWW,weekend,0.0,7.4,2.5,kg,1.5,l
WWW,WWW,weekend,0.0,7.6,2.5,kg,2.0,l
WWW,WWW,weekend,0.0,7.8,2.5,kg,3.0,l
WWW,WWW,weekend,0.0,8.0,2.5,kg,4.0,l
WWW,WWW,weekend,0.5,7.2,2.3,kg,1.0,l
WWW,WWW,weekend,0.5,7.4,2.3,kg,1.5,l
WWW,WWW,weekend,0.5,7.6,2.3,kg,2.0,l
WWW,WWW,weekend,0.5,7.8,2.3,kg,3.0,l
WWW,WWW,weekend,0.5,8.0,2.3,kg,4.0,l
WWW,WWW,weekend,1.0,7.2,1.8,kg,1.0,l
WWW,WWW,weekend,1.0,7.4,1.8,kg,1.5,l
WWW,WWW,weekend,1.0,7.6,1.8,kg,2.0,l
WWW,WWW,weekend,1.0,7.8,1.8,kg,3.0,l
WWW,WWW,weekend,1.0,8.0,1.8,kg,4.0,l
WWW,WWW,weekend,1.5,7.2,1.8,kg,1.0,l
WWW,WWW,weekend,1.5,7.4,1.8,kg,1.5,l
WWW,WWW,weekend,1.5,7.6,1.8,kg,2.0,l
WWW,WWW,weekend,1.5,7.8,1.8,kg,3.0,l
WWW,WWW,weekend,1.5,8.0,1.8,kg,4.0,l
WWW,WWW,weekend,2.0,7.2,1.3,kg,1.0,l
WWW,WWW,weekend,2.0,7.4,1.3,kg,1.5,l
WWW,WWW,weekend,2.0,7.6,1.3,kg,2.0,l
WWW,WWW,weekend,2.0,7.8,1.3,kg,3.0,l
WWW,WWW,weekend,2.0,8.0,1.3,kg,4.0,l
WWW,WWW,weekend,2.5,7.2,1.3,kg,1.0,l
WWW,WWW,weekend,2.5,7.4,1.3,kg,1.5,l
WWW,WWW,weekend,2.5,7.6,1.3,kg,2.0,l
WWW,WWW,weekend,2.5,7.8,1.3,kg,3.0,l
WWW,WWW,weekend,2.5,8.0,1.3,kg,4.0,l
WWW,WWW,weekend,3.0,7.2,800.0,g,500.0,ml
WWW,WWW,weekend,3.0,7.4,800.0,g,1.0,l
WWW,WWW,weekend,3.0,7.6,800.0,g,1.5,l
WWW,WWW,weekend,3.0,7.8,800.0,g,3.0,l
WWW,WWW,weekend,3.0,8.0,800.0,g,4.0,l
WWW,WWW,weekend,3.5,7.2,0.0,g,0.0,ml
WWW,WWW,weekend,3.5,7.4,0.0,g,1.0,l
WWW,WWW,weekend,3.5,7.6,0.0,g,2.0,l
WWW,WWW,weekend,3.5,7.8,0.0,g,3.0,l
WWW,WWW,weekend,3.5,8.0,0.0,g,3.5,l
WWW,WWW,weekend,4.0,7.2,0.0,g,0.0,ml
WWW,WWW,weekend,4.0,7.4,0.0,g,1.0,l
WWW,WWW,weekend,4.0,7.6,0.0,g,2.0,l
WWW,WWW,weekend,4.0,7.8,0.0,g,3.0,l
WWW,WWW,weekend,4.0,8.0,0.0,g,3.5,l
JEIP1,JEIP 1,weekday,-2.0,7.2,800.0,g,0.0,ml
JEIP1,JEIP 1,weekday,-2.0,7.4,800.0,g,0.0,ml
JEIP1,JEIP 1,weekday,-2.0,7.6,800.0,g,0.0,ml
JEIP1,JEIP 1,weekday,-2.0,7.8,800.0,g,500.0,ml
JEIP1,JEIP 1,weekday,-2.0,8.0,800.0,g,500.0,ml
JEIP1,JEIP 1,weekday,-1.5,7.2,800.0,g,0.0,ml
JEIP1,JEIP 1,weekday,-1.5,7.4,800.0,g,0.0,ml
JEIP1,JEIP 1,weekday,-1.5,7.6,800.0,g,0.0,ml
JEIP1,JEIP 1,weekday,-1.5,7.8,800.0,g,500.0,ml
JEIP1,JEIP 1,weekday,-1.5,8.0,800.0,g,500.0,ml
JEIP1,JEIP 1,weekday,-1.0,7.2,800.0,g,0.0,ml
JEIP1,JEIP 1,weekday,-1.0,7.4,800.0,g,0.0,ml
JEIP1,JEIP 1,weekday,-1.0,7.6,800.0,g,0.0,ml
JEIP1,JEIP 1,weekday,-1.0,7.8,800.0,g,500.0,ml
JEIP1,JEIP 1,weekday,-1.0,8.0,800.0,g,500.0,ml
JEIP1,JEIP 1,weekday,-0.5,7.2,800.0,g,0.0,ml
JEIP1,JEIP 1,weekday,-0.5,7.4,800.0,g,0.0,ml
JEIP1,JEIP 1,weekday,-0.5,7.6,800.0,g,0.0,ml
JEIP1,JEIP 1,weekday,-0.5,7.8,800.0,g,500.0,ml
JEIP1,JEIP 1,weekday,-0.5,8.0,800.0,g,500.0,ml
JEIP1,JEIP 1,weekday,0.0,7.2,500.0,g,0.0,ml
JEIP1,JEIP 1,weekday,0.0,7.4,500.0,g,0.0,ml
JEIP1,JEIP 1,weekday,0.0,7.6,500.0,g,0.0,ml
JEIP1,JEIP 1,weekday,0.0,7.8,500.0,g,500.0,ml
JEIP1,JEIP 1,weekday,0.0,8.0,500.0,g,500.0,ml
JEIP1,JEIP 1,weekday,0.5,7.2,400.0,g,0.0,ml
JEIP1,JEIP 1,weekday,0.5,7.4,400.0,g,0.0,ml
JEIP1,JEIP 1,weekday,0.5,7.6,400.0,g,0.0,ml
JEIP1,JEIP 1,weekday,0.5,7.8,400.0,g,500.0,ml
JEIP1,JEIP 1,weekday,0.5,8.0,400.0,g,500.0,ml
JEIP1,JEIP 1,weekday,1.0,7.2,300.0,g,0.0,ml
JEIP1,JEIP 1,weekday,1.0,7.4,300.0,g,0.0,ml
JEIP1,JEIP 1,weekday,1.0,7.6,300.0,g,0.0,ml
JEIP1,JEIP 1,weekday,1.0,7.8,300.0,g,500.0,ml
JEIP1,JEIP 1,weekday,1.0,8.0,300.0,g,500.0,ml
JEIP1,JEIP 1,weekday,1.5,7.2,200.0,g,0.0,ml
JEIP1,JEIP 1,weekday,1.5,7.4,200.0,g,0.0,ml
JEIP1,JEIP 1,weekday,1.5,7.6,200.0,g,0.0,ml
JEIP1,JEIP 1,weekday,1.5,7.8,200.0,g,500.0,ml
JEIP1,JEIP 1,weekday,1.5,8.0,200.0,g,500.0,ml
JEIP1,JEIP 1,weekday,2.0,7.2,100.0,g,0.0,ml
JEIP1,JEIP 1,weekday,2.0,7.4,100.0,g,0.0,ml
JEIP1,JEIP 1,weekday,2.0,7.6,100.0,g,0.0,ml
JEIP1,JEIP 1,weekday,2.0,7.8,100.0,g,500.0,ml
